TEMPO,Vi(t),Vo(t)
0.0,48.019999999999975,0.0
0.2,48.019999999999975,2.0000000000000005e-05
0.4,48.019999999999975,0.00017996000000000006
0.6000000000000001,48.019999999999975,0.0007194201200000003
0.8,48.019999999999975,0.0019965424395200007
1.0,48.019999999999975,0.004486559727322401
1.2,48.019999999999975,0.008779640368958466
1.4,48.019999999999975,0.015578182886375755
1.5999999999999999,48.019999999999975,0.025693557423284746
1.7999999999999998,48.019999999999975,0.04004231540647518
1.9999999999999998,48.019999999999975,0.05964189225241043
2.1999999999999997,48.019999999999975,0.08560583143763391
2.4,48.019999999999975,0.11913856146038229
2.6,48.019999999999975,0.1615297601613973
2.8000000000000003,48.019999999999975,0.21414834351913775
3.0000000000000004,48.019999999999975,0.27843611836635074
3.2000000000000006,48.019999999999975,0.3559011404724892
3.400000000000001,48.019999999999975,0.448110821084457
3.600000000000001,48.019999999999975,0.5566848263049369
3.800000000000001,48.019999999999975,0.6832878146051431
4.000000000000001,48.019999999999975,0.8296220583130404
4.200000000000001,48.019999999999975,0.9974199950884668
4.400000000000001,48.019999999999975,1.1884367551965207
4.600000000000001,48.019999999999975,1.4044427098270007
4.800000000000002,48.019999999999975,1.647216084791153
5.000000000000002,48.019999999999975,1.9185356826713744
5.200000000000002,48.019999999999975,2.220173754921919
5.400000000000002,48.019999999999975,2.5538890635390277
5.600000000000002,48.019999999999975,2.9214201697599353
5.8000000000000025,48.019999999999975,3.324478984836898
6.000000000000003,48.019999999999975,3.764744615291791
6.200000000000003,48.019999999999975,4.2438575322177465
6.400000000000003,48.019999999999975,4.763414091186779
6.600000000000003,48.019999999999975,5.324961426177617
6.800000000000003,48.019999999999975,5.929992737687579
7.0000000000000036,48.019999999999975,6.579942991868515
7.200000000000004,48.019999999999975,7.27618504416125
7.400000000000004,48.019999999999975,8.020026197527285
7.600000000000004,48.019999999999975,8.81270520202125
7.800000000000004,48.019999999999975,9.655389699142424
8.000000000000004,48.019999999999975,10.549174111176727
8.200000000000003,48.019999999999975,11.495077972618484
8.400000000000002,48.019999999999975,12.494044697768508
8.600000000000001,48.019999999999975,13.546940775764465
8.8,48.019999999999975,14.654555381630828
9.0,48.019999999999975,15.817600389457441
9.2,48.019999999999975,17.0367107715424
9.399999999999999,48.019999999999975,18.312445365279906
9.599999999999998,48.019999999999975,19.64528798774647
9.799999999999997,48.019999999999975,21.03564887634689
